25000
ID NAME TEAM SCORE COMPETITIONS POTATOE
64 kfXgnQuXu Alpha 1.8 14 true
65 fbjPUaO Gamma 1.4 180 true
66 QHLlLH Theta 10.0 108 true
67 cTZLjQP Tau 1.6 153 true
68 wWE Epsilon 0.8 31 false
69 ToS Epsilon 5.6 34 true
70 xzgDcdLfu Lambda 1.9 180 true
71 FFxELKP Epsilon 5.7 168 true
72 mDCRaesYxo Epsilon 2.6 227 false
73 ZEUXaniab Epsilon 2.0 151 false
74 eEnYWFmEd Beta 4.2 177 true
75 bXlPWpQALa Theta 6.2 217 false
76 VNcapZh Beta 5.8 240 false
77 mzDSGp Theta 5.1 202 true
78 vYKWhgotN Epsilon 8.3 47 true
79 elNKmW Beta 1.2 159 true
80 cJaR Alpha 0.2 226 true
81 ApmfBArTr Theta 2.6 198 false
82 oYxagxGz Pi 2.4 210 false
83 SDvthUb Tau 7.2 32 false
84 CiSQ Lambda 3.3 143 false
85 UCOVz Alpha 6.5 104 false
86 KVWZmM Delta 3.6 13 true
87 XYIIlK Pi 6.8 2 true
88 ntxIXwE Lambda 3.8 95 false
89 yemXMamW Alpha 2.9 15 false
90 ifRd Pi 9.9 13 false
91 fxVcme Beta 4.7 202 true
92 Ppe Delta 1.8 140 true
93 YPxLYrE Alpha 7.0 192 false
94 KQz Pi 5.4 97 false
95 lvvPNwbEA Theta 7.1 113 false
96 AmscBpqTz Pi 0.9 75 false
97 kXF Alpha 4.8 9 false
98 JeRJLvdOA Alpha 3.1 59 false
99 IHocSgq Beta 6.8 221 false
100 IrEyG Theta 7.9 223 true
101 TJGuJcoZoc Delta 0.8 240 true
102 YxcN Gamma 6.4 86 true
103 CuBmub Beta 6.1 168 true
104 ZmxZVYWL Lambda 1.6 63 true
105 ZiFgDzrGV Alpha 7.1 230 false
106 AcUrcLd Beta 6.3 90 true
107 ybuZeP Tau 3.9 141 true
108 qrrxQac Delta 7.1 175 false
109 GhhZsGE Gamma 8.4 129 false
110 oHExaaM Epsilon 4.8 145 false
111 CpU Lambda 4.1 219 true
112 raN Epsilon 5.1 122 false
113 uDq Tau 9.6 202 false
114 tOeJodd Epsilon 6.0 150 true
115 TdwcdMCL Beta 2.4 230 false
116 fzSZoQ Delta 6.9 147 true
117 acjvxtdHG Lambda 7.4 160 false
118 yUCtTz Alpha 6.0 114 true
119 OFnYFAUv Gamma 9.9 154 true
120 fhmkNgWk Epsilon 2.6 239 false
121 mDXpEpa Beta 9.9 228 true
122 XKwFdR Beta 9.5 202 true
123 qrbECdQJ Gamma 5.7 233 true
124 ehUGIFGs Lambda 6.5 76 true
125 DSLvWZSz Epsilon 9.9 91 false
126 jwMYKj Tau 2.3 49 true
127 pgPnhEKjZz Gamma 3.7 38 false
128 znSlrtRz Epsilon 0.4 140 false
129 JztowLR Epsilon 4.3 200 true
130 zodcRMK Lambda 9.7 3 false
131 lkpgIhCvG Alpha 6.1 58 false
132 fRc Theta 1.7 204 true
133 ZBPIsCHali Pi 5.7 121 false
134 HgKIG Tau 2.5 12 false
135 iBVZD Alpha 7.3 180 false
136 vdQjf Gamma 1.9 1 false
137 aKqCRzx Beta 5.6 21 false
138 CXxFS Lambda 2.7 121 false
139 unnhenJJnr Theta 3.4 217 true
140 bGG Delta 8.5 24 false
141 EgEPgJi Epsilon 1.6 191 false
142 JpAdckICn Alpha 1.2 166 false
143 coHcV Pi 3.8 30 false
144 cwIVAjOut Epsilon 2.2 74 true
145 rdJpRYKC Theta 0.4 231 true
146 ZDZMvONb Tau 8.2 20 true
147 Yjwq Alpha 7.8 139 true
148 ZQYvdh Pi 8.6 3 true
149 MGGqjPzq Pi 8.9 4 false
150 NizqYV Pi 9.7 164 false
151 hKpjm Tau 2.8 157 true
152 YwsgPVW Tau 2.9 199 true
153 NDHNaitZAz Delta 4.4 113 false
154 WHzaDHnV Gamma 2.7 212 false
155 tOOyXAKMqO Pi 3.2 0 true
156 Ofii Lambda 9.0 142 false
157 XEenBeWB Gamma 5.5 113 false
158 fTyS Lambda 2.2 196 true
159 qQWKjC Pi 0.6 67 false
160 jjZubPEjji Lambda 8.4 163 true
161 btzFr Theta 8.7 153 false
162 nXnbXYxG Beta 0.4 160 false
163 OLDhCzk Beta 8.9 124 true
164 GPWQax Tau 9.6 124 true
165 NISpbwldf Alpha 8.5 127 false
166 XhUF Epsilon 4.5 127 true
167 jeYHrds Delta 5.0 129 true
168 Ddop Theta 2.5 193 true
169 fKFoDU Epsilon 1.7 157 true
170 KPVvhcmvm Theta 2.4 83 true
171 HJhQMAKxO Alpha 7.3 230 true
172 NzYz Alpha 6.7 111 false
173 yhcmRlw Lambda 4.5 240 false
174 MwDwMwrtMS Delta 3.4 145 true
175 CZZHJs Theta 6.9 117 false
176 gaKdqfdGG Theta 6.8 41 true
177 FoRKrKCxP Lambda 8.6 0 false
178 ugzUZTpjyK Lambda 10.0 111 true
179 mXw Alpha 0.5 177 true
180 AErygg Epsilon 1.0 207 false
181 IfindHy Gamma 9.2 4 true
182 nSWaqceZu Tau 4.7 175 true
183 UqKW Delta 6.5 175 true
184 Oqjbg Tau 6.5 113 true
185 nkxsfH Beta 5.3 59 false
186 ctrE Pi 2.4 212 true
187 BTd Gamma 9.0 221 true
188 JmIxpap Epsilon 3.7 165 false
189 UMShnCVNhC Gamma 0.2 92 false
190 acMCKMy Delta 3.3 246 true
191 TnpYnSw Delta 3.3 188 false
192 kzorKyJGu Epsilon 9.3 88 true
193 qGGXkqczD Theta 3.0 182 true
194 jBsaeE Pi 5.3 64 false
195 pYnbnNV Alpha 3.2 109 true
196 lVyTgn Gamma 4.1 122 false
197 URrSZuih Lambda 0.3 165 true
198 Mrzm Pi 9.2 218 false
199 AiwLe Delta 9.2 92 false
200 zhzO Delta 3.7 183 true
201 PTPMNE Gamma 1.6 39 false
202 SYDByVy Pi 4.8 165 false
203 jiqQizQEU Theta 8.5 190 true
204 BaHVQJfH Lambda 6.6 29 false
205 jnzWQHH Gamma 8.8 29 false
206 KYRGLPKw Beta 6.6 43 false
207 WUBW Epsilon 0.9 162 false
208 zMPGGuJnc Delta 7.8 37 true
209 iCE Theta 5.9 64 true
210 SvYrICz Theta 9.0 193 true
211 SuwHj Gamma 9.8 216 false
212 mgsfoczD Epsilon 5.5 153 false
213 QRfHc Theta 3.3 158 false
214 HPxz Epsilon 3.3 195 false
215 lcFBy Tau 0.9 116 false
216 jyNn Pi 7.9 29 true
217 GMxTJ Epsilon 7.2 172 false
218 CNJFank Alpha 1.7 169 true
219 xGJ Theta 6.0 35 true
220 JtoLFPZ Delta 3.0 28 true
221 vIrTxJdYD Pi 7.5 108 true
222 DpEtqsj Beta 0.2 64 true
223 pqNTU Alpha 2.9 67 true
224 DUZthg Theta 4.1 39 true
225 naPFY Beta 6.8 212 true
226 QmEM Gamma 0.3 31 true
227 mXKdsn Delta 3.4 179 true
228 LVhGNOCNY Pi 1.2 48 true
229 DFAwSBVz Theta 7.6 112 false
230 HMuETsBkpb Delta 8.5 2 true
231 qpkgZMU Tau 4.8 245 true
232 QZa Theta 8.5 197 true
233 UKawMV Beta 6.0 210 false
234 CvzAyV Gamma 4.1 94 true
235 DVFyi Epsilon 4.6 137 true
236 cHRCTO Lambda 7.9 91 false
237 RqqAcoRo Theta 4.0 168 false
238 YUkzwVExwy Theta 3.3 199 true
239 wSiDkorQ Lambda 3.2 89 true
240 FXyq Alpha 2.4 239 true
241 JbjHgRGWRx Epsilon 0.5 49 true
242 elWTymNTd Delta 7.1 105 true
243 iEoOjWGnUy Pi 6.7 33 true
244 RbGoLI Delta 6.4 235 true
245 uJOcm Theta 6.2 213 true
246 EjCGSEKuzo Theta 9.0 53 true
247 ATvsjuNcRq Pi 1.6 223 false
248 hChVDG Pi 0.7 179 true
249 yfcFv Theta 7.3 193 true
250 FvJxATB Theta 9.4 65 true
251 Hxe Delta 0.1 107 true
252 otlf Beta 6.8 237 false
253 pUDPn Theta 5.2 141 false
254 vHiXjel Delta 9.8 82 false
255 wvnaEjGDd Gamma 4.8 124 true
256 XXco Lambda 3.9 4 true
257 CrgcxEQCQG Tau 6.0 223 false
258 YfkvAo Theta 4.0 205 false
259 hErSuciw Beta 0.8 213 false
260 uPMmRZz Epsilon 7.6 141 true
261 cPqN Delta 5.2 101 true
262 hjEOsXAOn Lambda 10.0 229 false
263 JulZbS Theta 7.4 203 true
264 eayNUy Gamma 1.4 61 true
265 oRXT Pi 9.6 34 false
266 nPVbaf Pi 4.0 227 true
267 DqXrewWXw Alpha 8.1 107 false
268 nPtBx Epsilon 0.9 205 false
269 cbsFJDpf Theta 1.0 51 true
270 lTdhk Delta 6.1 191 false
271 YDbaDUJ Beta 1.4 52 true
272 oHqTMZ Tau 10.0 75 false
273 puMHE Pi 5.0 248 true
274 OSjO Tau 4.0 75 true
275 BsMmCxIQH Lambda 5.3 94 false
276 uCWecf Lambda 3.9 193 false
277 DGw Epsilon 0.6 115 false
278 sgPPmbik Epsilon 5.9 205 false
279 ZKDBjH Lambda 6.6 228 false
280 vHYf Delta 8.3 107 true
281 bPZeKfjPm Gamma 3.5 122 false
282 ACdajbe Gamma 1.9 9 false
283 FdTz Beta 9.9 245 true
284 RIRjpZle Tau 6.8 148 false
285 ZoxJlOEQ Lambda 2.8 211 true
286 cssAEUP Lambda 4.8 66 true
287 yelwPPHbds Lambda 8.6 55 false
288 pCMvn Theta 4.6 140 true
289 bgfc Epsilon 1.7 123 false
290 fyhS Delta 7.8 71 false
291 GlgIzB Epsilon 5.8 7 true
292 pEIniQWxTM Lambda 7.6 108 false
293 mfR Tau 8.4 231 true
294 uqfVo Beta 9.2 22 false
295 CbEUdmR Lambda 2.4 179 false
296 TiojFwTBb Epsilon 8.0 145 true
297 BXsdidChjY Gamma 7.7 239 false
298 eOzcPF Tau 9.4 219 false
299 MGZwA Theta 3.9 213 true
300 cREQVYw Alpha 8.0 128 true
301 tAuhOq Delta 4.7 81 false
302 qDXrNZkhk Gamma 4.9 175 true
303 IGREvEg Lambda 5.7 147 true
304 JnHmlGCtla Tau 9.3 32 false
305 zoXfGKm Beta 1.1 121 true
306 uEutnSNqY Beta 8.4 67 true
307 VjhPiWgk Tau 7.4 146 true
308 Qwstf Lambda 4.5 0 false
309 EgxdHcMRlx Beta 7.0 109 true
310 GcH Lambda 7.6 88 false
311 EYMOYaG Epsilon 3.2 151 true
312 HwRDAPkTz Epsilon 8.9 4 true
313 JZgkumv Pi 7.8 43 true
314 PXajylpzy Gamma 0.3 223 true
315 qXVoHd Gamma 4.8 110 false
316 KZlSMz Gamma 8.9 152 false
317 qteWuI Tau 5.8 119 true
318 nGL Tau 7.7 8 false
319 ioWg Alpha 7.1 245 true
320 RmQIDkk Delta 3.6 40 false
321 jNqK Epsilon 4.2 148 true
322 SnhqnBnE Delta 3.7 142 false
323 qfyVxdWldh Gamma 1.5 136 true
324 SGhvVCS Lambda 2.6 49 true
325 hVmTmuIHFG Gamma 7.8 156 false
326 czddv Lambda 4.4 109 false
327 xloTreDQtC Theta 3.1 245 false
328 jaMUxRvLQB Pi 7.9 225 true
329 RNNwPUNAQk Alpha 1.1 192 true
330 dNeYmVKQZQ Alpha 1.0 43 true
331 YcXYA Delta 3.4 118 true
332 sojiyLIgdE Lambda 9.2 2 false
333 dUDDVu Lambda 6.3 112 false
334 vzceB Beta 8.8 203 false
335 Rny Alpha 9.3 217 true
336 pCEHD Delta 9.4 190 false
337 WkJhcOe Alpha 7.9 91 true
338 MFGGU Beta 3.8 73 true
339 pApHORrEIE Tau 9.0 230 false
340 MXgBuOJpn Lambda 3.2 185 false
341 jxM Pi 7.5 74 true
342 ftNK Pi 8.0 190 true
343 LKdpwmvMWy Alpha 8.5 113 false
344 elwOQdC Alpha 6.9 136 true
345 SfBCJFjmq Tau 5.4 194 true
346 CkfTGYI Alpha 0.8 199 true
347 nRCvYTjb Delta 5.6 201 true
348 ewjgFL Delta 2.8 19 true
349 IuUKhMi Gamma 4.9 83 false
350 gVHN Gamma 7.8 113 false
351 jzkBmwcm Epsilon 5.1 199 false
352 IUwkhNLZXO Pi 6.5 201 true
353 DnphvGrW Epsilon 1.1 239 true
354 ochoTG Beta 5.1 220 true
355 xUNsowPs Lambda 9.7 185 false
356 ScYG Lambda 2.3 102 false
357 RFJDZpDsJ Tau 7.7 179 false
358 RYtL Alpha 2.5 68 true
359 pbr Tau 4.7 43 true
360 eFuA Lambda 8.1 100 false
361 Btv Beta 0.1 230 true
362 aLvqA Pi 9.0 193 true
363 Mbfdq Alpha 9.1 21 false
364 liVMfjnpp Beta 6.2 55 true
365 oVwxRKrbXn Gamma 5.3 77 true
366 wYRZtO Gamma 1.5 90 true
367 jvqdqw Tau 4.6 128 true
368 LZmp Tau 9.4 118 true
369 yAi Delta 1.8 10 false
370 uPMBoksFr Lambda 5.2 121 false
371 vxrSsh Pi 7.1 225 false
372 tUGAzEYuJ Theta 1.0 39 true
373 irws Epsilon 2.6 204 false
374 iHQh Gamma 5.4 112 false
375 SMobWQnQM Delta 2.4 77 true
376 qMbxaYckQD Beta 1.6 86 false
377 XOst Gamma 8.7 78 false
378 GtqAkM Gamma 1.6 139 true
379 yoCAzEHz Pi 2.0 158 true
380 JyfNdr Tau 1.5 63 true
381 BJstibH Beta 3.3 103 false
382 JxlS Delta 4.3 47 true
383 wli Delta 7.5 96 false
384 RigXxfl Lambda 7.4 0 true
385 GkzcK Alpha 2.6 7 true
386 WoYQWhpR Lambda 5.5 50 false
387 ONCwOFPV Pi 8.2 98 true
388 juT Gamma 9.6 42 true
389 ShGDe Epsilon 9.3 49 false
390 GABpLLasFP Theta 0.5 73 true
391 QVzmWU Tau 7.5 197 false
392 hRzlAjqX Theta 4.5 15 true
393 RGG Delta 2.9 118 false
394 vgClwj Gamma 9.5 248 true
395 ndVWW Gamma 8.0 248 false
396 ypkfatA Gamma 5.9 131 true
397 eerg Epsilon 3.7 93 false
398 QaPJx Lambda 4.4 221 false
399 JJjqqwyoO Lambda 2.0 206 false
400 JeHGC Gamma 8.6 39 false
401 OfJKba Epsilon 0.5 8 true
402 NlStsm Theta 10.0 155 true
403 ecxO Alpha 8.9 208 false
404 UDYYst Epsilon 6.7 92 false
405 yMKHLj Epsilon 7.7 85 false
406 gPUZnl Epsilon 8.2 80 true
407 QYUK Gamma 2.2 124 true
408 Hsef Lambda 5.9 172 true
409 oWdRLN Alpha 4.0 60 true
410 zPrhA Alpha 3.9 170 false
411 wOOEUYuwJ Beta 8.0 108 false
412 gZCfD Pi 7.3 66 true
413 aeZi Epsilon 7.3 239 true
414 XLVHuu Theta 4.3 25 true
415 rkUXl Tau 8.3 151 false
416 BFyYatZUrJ Lambda 2.9 67 true
417 aiq Tau 0.9 12 true
418 DZc Beta 6.6 173 false
419 nlEqpqZMN Epsilon 7.0 81 true
420 LLIrSv Alpha 1.6 212 false
421 dwnnL Epsilon 0.4 144 true
422 qycldR Delta 4.0 94 false
423 kKP Gamma 2.1 53 false
424 TZXJrWD Pi 1.3 184 false
425 bFhNW Alpha 6.5 23 false
426 zRhHhs Delta 8.0 227 true
427 eZeXk Beta 1.7 173 true
428 pjo Epsilon 4.9 167 false
429 IQvUjlBLu Epsilon 1.9 91 false
430 hXwgKils Tau 1.5 199 false
431 PTHfpCJ Epsilon 9.7 88 false
432 JwxCN Epsilon 3.4 98 true
433 Zjf Pi 4.4 72 false
434 hoQLrH Lambda 9.9 150 false
435 HLgnwt Theta 8.1 135 false
436 pchNRlDuGD Theta 6.4 239 false
437 pBk Theta 3.4 220 true
438 cfHgm Delta 1.3 41 true
439 wxphBwyNJS Alpha 6.2 155 false
440 oUCr Gamma 4.9 184 true
441 pOKUCi Lambda 3.3 122 true
442 LTDxF Delta 7.6 240 true
443 vIlJHJU Pi 8.9 237 false
444 MUrzFHOjOH Beta 6.7 162 true
445 gZqARGm Tau 1.1 87 true
446 VsYPcil Pi 5.7 245 false
447 NmecgBqvL Lambda 6.7 214 false
448 XBJppYgnf Lambda 0.3 206 false
449 EYTV Lambda 6.1 156 false
450 OAlQW Theta 6.2 79 false
451 pNZtnixEMN Theta 7.4 110 true
452 nlmSJC Epsilon 3.0 17 true
453 wdlpHL Lambda 1.3 75 false
454 gcXo Pi 3.1 77 false
455 iXuDIA Alpha 3.3 234 false
456 vRrLSFU Pi 6.7 219 true
457 pWFVLtgxDt Theta 4.3 16 true
458 YDsuMSQ Beta 1.8 23 true
459 jqRYBbo Epsilon 8.8 187 true
460 MkHkGlSi Alpha 3.6 93 false
461 TNpCRd Theta 6.3 122 true
462 BdGfdKWCy Pi 4.3 23 true
463 kjExgFsC Epsilon 4.9 28 false
464 GvJKILS Pi 9.2 17 false
465 NDS Tau 1.0 66 true
466 Mnz Gamma 6.4 206 false
467 Lnu Alpha 0.5 151 false
468 XKADDlz Alpha 0.4 147 false
469 SCnu Beta 9.3 163 true
470 OrsfnOFUP Pi 4.3 66 true
471 JgnJ Alpha 7.9 250 false
472 qjOXAYaH Delta 5.4 226 false
473 LfvPwi Pi 5.9 115 false
474 GGgdvDoEDE Delta 5.5 54 false
475 EWTyTRI Gamma 5.9 53 true
476 kPzZS Delta 5.5 137 false
477 HJa Lambda 0.2 211 false
478 zmw Epsilon 7.8 34 true
479 mBRPzbFK Delta 9.0 181 false
480 bHG Gamma 5.2 65 false
481 PDxsSHY Epsilon 3.5 190 true
482 zwf Theta 3.5 47 true
483 eHned Lambda 3.5 172 false
484 molYaowxqP Tau 7.9 37 true
485 CllOhWfXwh Gamma 8.6 194 true
486 ZCK Epsilon 10.0 178 true
487 Hqe Delta 9.2 186 false
488 ofaYa Tau 9.0 120 true
489 kZdOy Gamma 1.4 214 false
490 durEHn Beta 9.9 238 false
491 Dtb Epsilon 7.0 168 true
492 MOfce Epsilon 5.4 38 true
493 bwsrKyuB Epsilon 8.3 101 false
494 fUsylJKazx Delta 0.8 157 false
495 VgPZx Alpha 9.0 79 true
496 XAsWOnirbg Theta 1.4 188 false
497 ESHmOmth Lambda 1.8 224 true
498 YcXqFYT Lambda 6.2 241 false
499 znkjEjgj Tau 9.1 206 false
500 fVS Epsilon 4.8 183 true
501 hrpCH Delta 9.4 220 false
502 JKxur Epsilon 8.0 219 false
503 ICTZmjAeQ Tau 1.9 76 false
504 MQAnJni Alpha 4.7 105 false
505 nYynWvsO Gamma 5.3 5 true
506 ukFmLNbd Epsilon 1.9 119 true
507 PNmV Beta 6.8 122 false
508 SabkTXdtvj Lambda 6.3 45 false
509 wlgeulu Lambda 3.9 180 true
510 tFkH Delta 3.3 10 true
511 lxWcNd Tau 0.6 239 false
512 fMfdjBd Epsilon 8.0 77 false
513 oYKN Alpha 9.8 112 false
514 mCOHqKYDxz Delta 6.2 43 true
515 JAZVrdYqn Beta 7.9 185 false
516 xqbRF Gamma 4.0 241 false
517 IBE Delta 7.1 108 false
518 wZAthopRn Theta 9.8 132 true
519 JdBmnltDR Beta 6.5 49 false
520 CZOAFUJT Lambda 3.0 198 true
521 TumGaDTDd Theta 4.6 65 true
522 cRLls Tau 10.0 64 false
523 oHBwub Beta 5.9 110 true
524 ryBwj Lambda 1.0 48 false
525 iBDSBn Lambda 2.3 92 true
526 FDsDkXwrHZ Epsilon 3.5 152 false
527 DroqWoegPG Epsilon 4.0 41 false
528 Oddfiwe Pi 8.8 11 false
529 DtSPeR Alpha 0.3 147 true
530 cpglIPcW Pi 0.9 241 true
531 BeGzcxY Alpha 3.5 250 true
532 EoxLf Tau 1.6 0 true
533 iIgPFn Lambda 2.0 225 false
534 styJ Epsilon 3.0 14 false
535 oiX Gamma 8.6 136 false
536 jEpgmeI Tau 5.0 174 false
537 eYd Delta 0.5 87 false
538 nEFRHNscz Tau 3.8 17 true
539 eeUme Tau 8.9 118 true
540 VxYIzLtA Lambda 3.1 124 false
541 YEh Beta 3.2 116 false
542 DYIGtjWQU Gamma 9.1 97 false
543 dpDAkr Alpha 7.7 237 false
544 OGiq Epsilon 9.0 34 true
545 gGG Epsilon 6.2 98 true
546 VhCpSFXHnS Theta 6.8 114 false
547 AiMbVypl Theta 2.5 8 true
548 hMtsuIcgqN Theta 9.4 69 false
549 tIq Beta 5.5 188 true
550 aECodYY Epsilon 5.3 91 true
551 ljPEct Beta 4.4 149 true
552 tNkS Lambda 2.4 202 false
553 cbEpWK Theta 8.1 103 false
554 XAq Tau 1.4 20 false
555 HHBZCpI Epsilon 1.7 112 false
556 xVvkB Gamma 5.0 118 true
557 cKzuOrJP Tau 4.8 247 false
558 yOxrc Delta 3.3 138 true
559 omv Beta 2.1 77 false
560 NBtH Delta 2.8 85 false
561 xnmscHkFuJ Tau 3.3 166 false
562 Zpe Gamma 9.7 27 false
563 nhoRMwXB Pi 5.0 197 false
564 PNZlbPA Lambda 2.9 118 false
565 WNItkONsAw Gamma 8.3 84 true
566 zjrufaL Delta 6.8 31 false
567 nJJSucnv Theta 7.2 3 true
568 yTzv Alpha 3.3 237 false
569 NNYvvT Delta 7.1 28 true
570 DMRdz Lambda 6.0 137 true
571 kvpJyGg Pi 9.3 188 true
572 rtMuS Lambda 8.3 203 false
573 nrZCOvBy Beta 5.9 108 true
574 ShUSUnMj Pi 2.1 24 true
575 lBIhoeCIlV Alpha 3.4 97 false
576 zeb Delta 2.7 184 false
577 GAWlYZFqa Lambda 3.8 171 true
578 FndIrwGb Alpha 0.7 166 false
579 CKR Theta 9.7 204 true
580 SYRqt Tau 0.8 16 true
581 wOEs Delta 2.2 149 false
582 PXughyNd Pi 0.1 73 false
583 qtZRp Beta 2.2 208 true
584 CLzlnVcsqy Epsilon 10.0 168 false
585 vMXdzY Beta 4.5 147 true
586 RHYmVrikMm Alpha 4.1 221 true
587 KtcdKWb Beta 0.3 84 true
588 MpRaLpl Tau 7.8 92 true
589 ZSLr Delta 9.3 132 false
590 TrGUT Epsilon 9.3 173 false
591 lhXjuCeVl Alpha 3.0 99 true
592 aAjSxUNupe Gamma 1.7 148 false
593 sEZz Tau 6.7 18 false
594 cut Theta 5.3 57 false
595 oPYSHQUpd Lambda 6.7 152 true
596 gSaJTeo Beta 4.6 12 true
597 qQOLHiZiTj Tau 10.0 2 false
598 nyMnnu Delta 8.9 209 true
599 GrBDVoVbf Pi 3.5 63 false
600 fZQNziRvTU Delta 2.0 155 false
601 hiOXBdywd Delta 0.3 213 false
602 oDkhtD Delta 8.3 237 true
603 TCvhOBbO Tau 0.8 126 true
604 qIRxM Tau 1.2 213 true
605 jLlunaRcps Tau 3.2 85 false
606 Pls Epsilon 2.4 234 false
607 aTNgu Delta 0.1 243 true
608 wcS Epsilon 5.3 171 false
609 AqYNk Beta 7.1 66 false
610 bvPIWljEf Theta 6.6 127 true
611 RGE Tau 7.5 60 false
612 ItWTxMUdID Theta 1.1 165 true
613 KbnoX Theta 2.9 246 false
614 hPhFwccUIA Pi 4.1 104 false
615 mQq Lambda 0.3 44 true
616 pDUedvTB Lambda 9.5 54 false
617 pkyMnLfr Pi 1.8 127 false
618 CKuLqJSl Delta 5.4 16 true
619 oQZ Epsilon 6.4 191 false
620 rYNHus Alpha 4.3 104 false
621 iHIIQa Tau 2.4 238 false
622 QFQPpr Beta 0.5 98 true
623 SmHIRd Gamma 1.7 100 false
624 MEmECL Alpha 6.3 207 true
625 qraDGDRjn Epsilon 6.0 188 true
626 nHWHNAB Delta 1.9 62 true
627 QTlms Epsilon 5.5 182 false
628 rkNc Delta 9.2 100 true
629 wATOd Lambda 2.2 29 false
630 zrTvBW Alpha 5.4 9 false
631 vnPZeQlMl Lambda 1.9 198 true
632 YDZTuK Tau 3.8 136 false
633 Ncndvmbvjd Gamma 4.5 214 true
634 OcNpWtV Delta 8.2 104 false
635 OAxfgAYXe Gamma 4.2 213 false
636 Bcc Pi 8.1 117 true
637 xiDNO Lambda 1.2 4 false
638 DWWuhk Alpha 1.5 176 false
639 WLeg Alpha 1.9 83 false
640 MusfQilkJ Epsilon 1.5 171 true
641 FSDtL Tau 8.5 63 false
642 eqQxyt Gamma 0.4 111 false
643 jBVzUEfRy Lambda 7.5 1 true
644 nQjvMTocK Tau 3.9 29 true
645 NzlP Tau 9.6 163 false
646 GcyvONi Tau 3.3 45 false
647 mnwnDycs Gamma 9.9 27 true
648 rgYCxNFm Theta 2.9 143 false
649 diVQGgf Tau 8.5 133 true
650 dbOUrlp Alpha 0.2 121 true
651 WdP Beta 3.6 54 false
652 JVP Epsilon 7.1 151 false
653 pJYgf Theta 1.3 73 true
654 wphdln Epsilon 6.6 0 false
655 ggjwryzWj Tau 7.8 203 false
656 VnCAhRXIyo Epsilon 7.7 93 false
657 UCDROT Alpha 6.7 55 false
658 KdXSEtdzqo Epsilon 3.6 242 false
659 adoKf Delta 5.0 68 true
660 pToFNz Tau 0.2 153 true
661 pKgaBXaT Delta 8.3 246 false
662 WPTjqteF Pi 0.6 36 false
663 hiVOt Alpha 8.5 220 true
664 qKmHcYhVl Beta 6.5 16 true
665 aoFXGXD Epsilon 1.9 22 true
666 jCyZe Beta 4.3 62 true
667 bovpnwvB Tau 6.0 74 false
668 OdKEQa Theta 2.5 73 false
669 qjwUYwiKxp Delta 6.9 103 false
